date,series
2019-07-01,4267.8
2019-07-02,4257.9
2019-07-03,4314.9
2019-07-04,4299.9
2019-07-05,4324.1
2019-07-06,3978.1
2019-07-07,3400.2
2019-07-08,4301.2
2019-07-09,4305.5
2019-07-10,4376.6
2019-07-11,4374.9
2019-07-12,4411.1
2019-07-13,4075.3
2019-07-14,3505.5
2019-07-15,4411.8
2019-07-16,4418.4
2019-07-17,4488.5
2019-07-18,4482.4
2019-07-19,4510.7
2019-07-20,4163.5
2019-07-21,3579.2
2019-07-22,4468.1
2019-07-23,4454.9
2019-07-24,4503.4
2019-07-25,4474.6
2019-07-26,4479.9
2019-07-27,4110.4
2019-07-28,3505.2
2019-07-29,4375.7
2019-07-30,4347.5
2019-07-31,4385.4
2019-08-01,4351.2
2019-08-02,4357.1
2019-08-03,3994.7
2019-08-04,3403.8
2019-08-05,4296.1
2019-08-06,4297.4
2019-08-07,4372.3
2019-08-08,4382.4
2019-08-09,4439.6
2019-08-10,4134.7
2019-08-11,3606.5
2019-08-12,4565.9
2019-08-13,4637.3
2019-08-14,4784.0
2019-08-15,4866.1
2019-08-16,4993.8
2019-08-17,4756.5
2019-08-18,4291.3
2019-08-19,5307.4
2019-08-20,5427.8
2019-08-21,5614.4
2019-08-22,5726.0
2019-08-23,5871.9
2019-08-24,5640.5
2019-08-25,5168.5
2019-08-26,6164.6
2019-08-27,6251.9
2019-08-28,6392.4
2019-08-29,6445.7
2019-08-30,6521.6
2019-08-31,6209.7
2019-09-01,5648.1
2019-09-02,6546.9
2019-09-03,6530.9
2019-09-04,6564.0
2019-09-05,6507.7
2019-09-06,6473.8
2019-09-07,6053.9
2019-09-08,5387.9
2019-09-09,6188.0
2019-09-10,6080.6
2019-09-11,6031.2
2019-09-12,5902.4
2019-09-13,5807.3
2019-09-14,5338.3
2019-09-15,4635.8
2019-09-16,5412.3
2019-09-17,5293.9
2019-09-18,5246.0
2019-09-19,5130.5
2019-09-20,5059.5
2019-09-21,4624.4
2019-09-22,3964.1
2019-09-23,4789.6
2019-09-24,4725.6
2019-09-25,4735.5
2019-09-26,4679.7
2019-09-27,4668.6
2019-09-28,4291.7
